GPU available: True, used: True
TPU available: False, using: 0 TPU cores
LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [0]
Set SLURM handle signals.

  | Name        | Type             | Params
-------------------------------------------------
0 | model       | CNN_OShaugnessy  | 1 M   
1 | loss_module | CrossEntropyLoss | 0     

Validation sanity check: 0it [00:00, ?it/s]
Validation sanity check:  50%|█████     | 1/2 [00:00<00:00,  3.60it/s]
                                                                      
Training: 0it [00:00, ?it/s]
Training:   0%|          | 0/578 [00:00<?, ?it/s]
Epoch 0:   0%|          | 0/578 [00:00<?, ?it/s] 
Epoch 0:   0%|          | 1/578 [00:00<00:14, 38.57it/s, loss=1.103, v_num=7359009]
Epoch 0:   0%|          | 2/578 [00:00<00:10, 52.65it/s, loss=1.109, v_num=7359009]
Epoch 0:   1%|          | 3/578 [00:00<00:09, 60.88it/s, loss=1.105, v_num=7359009]
Epoch 0:   1%|          | 4/578 [00:00<00:08, 66.20it/s, loss=1.100, v_num=7359009]
Epoch 0:   1%|          | 5/578 [00:00<00:08, 69.88it/s, loss=1.105, v_num=7359009]
Epoch 0:   1%|          | 6/578 [00:00<00:07, 72.61it/s, loss=1.105, v_num=7359009]
Epoch 0:   1%|          | 7/578 [00:00<00:07, 74.61it/s, loss=1.103, v_num=7359009]
Epoch 0:   1%|▏         | 8/578 [00:00<00:07, 76.30it/s, loss=1.103, v_num=7359009]
Epoch 0:   1%|▏         | 8/578 [00:00<00:07, 76.04it/s, loss=1.103, v_num=7359009]
Epoch 0:   2%|▏         | 9/578 [00:00<00:07, 77.33it/s, loss=1.102, v_num=7359009]
Epoch 0:   2%|▏         | 10/578 [00:00<00:07, 78.45it/s, loss=1.101, v_num=7359009]
Epoch 0:   2%|▏         | 11/578 [00:00<00:07, 79.41it/s, loss=1.100, v_num=7359009]
Epoch 0:   2%|▏         | 12/578 [00:00<00:07, 80.19it/s, loss=1.100, v_num=7359009]
Epoch 0:   2%|▏         | 13/578 [00:00<00:06, 80.91it/s, loss=1.100, v_num=7359009]
Epoch 0:   2%|▏         | 14/578 [00:00<00:06, 81.54it/s, loss=1.100, v_num=7359009]
Epoch 0:   3%|▎         | 15/578 [00:00<00:06, 82.09it/s, loss=1.100, v_num=7359009]
Epoch 0:   3%|▎         | 16/578 [00:00<00:06, 82.57it/s, loss=1.101, v_num=7359009]
Epoch 0:   3%|▎         | 17/578 [00:00<00:06, 83.00it/s, loss=1.101, v_num=7359009]
Epoch 0:   3%|▎         | 18/578 [00:00<00:06, 83.43it/s, loss=1.101, v_num=7359009]
Epoch 0:   3%|▎         | 18/578 [00:00<00:06, 83.30it/s, loss=1.101, v_num=7359009]
Epoch 0:   3%|▎         | 19/578 [00:00<00:06, 83.65it/s, loss=1.100, v_num=7359009]
Epoch 0:   3%|▎         | 20/578 [00:00<00:06, 83.94it/s, loss=1.100, v_num=7359009]
Epoch 0:   4%|▎         | 21/578 [00:00<00:06, 84.23it/s, loss=1.100, v_num=7359009]
Epoch 0:   4%|▍         | 22/578 [00:00<00:06, 84.49it/s, loss=1.099, v_num=7359009]
Epoch 0:   4%|▍         | 23/578 [00:00<00:06, 84.76it/s, loss=1.099, v_num=7359009]
Epoch 0:   4%|▍         | 24/578 [00:00<00:06, 84.99it/s, loss=1.100, v_num=7359009]
Epoch 0:   4%|▍         | 25/578 [00:00<00:06, 85.20it/s, loss=1.099, v_num=7359009]
Epoch 0:   4%|▍         | 26/578 [00:00<00:06, 85.39it/s, loss=1.099, v_num=7359009]
Epoch 0:   5%|▍         | 27/578 [00:00<00:06, 85.55it/s, loss=1.099, v_num=7359009]
Epoch 0:   5%|▍         | 28/578 [00:00<00:06, 85.75it/s, loss=1.099, v_num=7359009]
Epoch 0:   5%|▍         | 28/578 [00:00<00:06, 85.66it/s, loss=1.099, v_num=7359009]
Epoch 0:   5%|▌         | 29/578 [00:00<00:06, 85.83it/s, loss=1.099, v_num=7359009]
Epoch 0:   5%|▌         | 30/578 [00:00<00:06, 85.97it/s, loss=1.099, v_num=7359009]
Epoch 0:   5%|▌         | 31/578 [00:00<00:06, 86.11it/s, loss=1.099, v_num=7359009]
Epoch 0:   6%|▌         | 32/578 [00:00<00:06, 86.25it/s, loss=1.099, v_num=7359009]
Epoch 0:   6%|▌         | 33/578 [00:00<00:06, 86.38it/s, loss=1.099, v_num=7359009]
Epoch 0:   6%|▌         | 34/578 [00:00<00:06, 86.50it/s, loss=1.099, v_num=7359009]
Epoch 0:   6%|▌         | 35/578 [00:00<00:06, 86.61it/s, loss=1.098, v_num=7359009]
Epoch 0:   6%|▌         | 36/578 [00:00<00:06, 86.72it/s, loss=1.097, v_num=7359009]
Epoch 0:   6%|▋         | 37/578 [00:00<00:06, 86.81it/s, loss=1.096, v_num=7359009]
Epoch 0:   7%|▋         | 38/578 [00:00<00:06, 86.92it/s, loss=1.096, v_num=7359009]
Epoch 0:   7%|▋         | 38/578 [00:00<00:06, 86.86it/s, loss=1.096, v_num=7359009]
Epoch 0:   7%|▋         | 39/578 [00:00<00:06, 86.96it/s, loss=1.096, v_num=7359009]
Epoch 0:   7%|▋         | 40/578 [00:00<00:06, 87.04it/s, loss=1.096, v_num=7359009]
Epoch 0:   7%|▋         | 41/578 [00:00<00:06, 87.11it/s, loss=1.096, v_num=7359009]
Epoch 0:   7%|▋         | 42/578 [00:00<00:06, 87.20it/s, loss=1.096, v_num=7359009]
Epoch 0:   7%|▋         | 43/578 [00:00<00:06, 87.28it/s, loss=1.095, v_num=7359009]
Epoch 0:   8%|▊         | 44/578 [00:00<00:06, 87.35it/s, loss=1.094, v_num=7359009]
Epoch 0:   8%|▊         | 45/578 [00:00<00:06, 87.42it/s, loss=1.093, v_num=7359009]
Epoch 0:   8%|▊         | 46/578 [00:00<00:06, 87.49it/s, loss=1.092, v_num=7359009]
Epoch 0:   8%|▊         | 47/578 [00:00<00:06, 87.54it/s, loss=1.092, v_num=7359009]
Epoch 0:   8%|▊         | 48/578 [00:00<00:06, 87.60it/s, loss=1.092, v_num=7359009]
Epoch 0:   8%|▊         | 48/578 [00:00<00:06, 87.55it/s, loss=1.091, v_num=7359009]
Epoch 0:   8%|▊         | 49/578 [00:00<00:06, 87.62it/s, loss=1.091, v_num=7359009]
Epoch 0:   9%|▊         | 50/578 [00:00<00:06, 87.68it/s, loss=1.090, v_num=7359009]
Epoch 0:   9%|▉         | 51/578 [00:00<00:06, 86.36it/s, loss=1.090, v_num=7359009]
Epoch 0:   9%|▉         | 52/578 [00:00<00:06, 86.35it/s, loss=1.088, v_num=7359009]
Epoch 0:   9%|▉         | 53/578 [00:00<00:06, 86.41it/s, loss=1.089, v_num=7359009]
Epoch 0:   9%|▉         | 54/578 [00:00<00:06, 86.49it/s, loss=1.088, v_num=7359009]
Epoch 0:  10%|▉         | 55/578 [00:00<00:06, 86.56it/s, loss=1.087, v_num=7359009]
Epoch 0:  10%|▉         | 56/578 [00:00<00:06, 86.62it/s, loss=1.087, v_num=7359009]
Epoch 0:  10%|▉         | 57/578 [00:00<00:06, 86.68it/s, loss=1.087, v_num=7359009]
Epoch 0:  10%|█         | 58/578 [00:00<00:05, 86.76it/s, loss=1.087, v_num=7359009]
Epoch 0:  10%|█         | 58/578 [00:00<00:05, 86.72it/s, loss=1.086, v_num=7359009]
Epoch 0:  10%|█         | 59/578 [00:00<00:05, 86.78it/s, loss=1.086, v_num=7359009]
Epoch 0:  10%|█         | 60/578 [00:00<00:05, 86.84it/s, loss=1.086, v_num=7359009]
Epoch 0:  11%|█         | 61/578 [00:00<00:05, 86.89it/s, loss=1.085, v_num=7359009]
Epoch 0:  11%|█         | 62/578 [00:00<00:05, 86.94it/s, loss=1.084, v_num=7359009]
Epoch 0:  11%|█         | 63/578 [00:00<00:05, 86.81it/s, loss=1.084, v_num=7359009]
Epoch 0:  11%|█         | 64/578 [00:00<00:05, 86.63it/s, loss=1.083, v_num=7359009]
Epoch 0:  11%|█         | 65/578 [00:00<00:05, 86.49it/s, loss=1.083, v_num=7359009]
Epoch 0:  11%|█▏        | 66/578 [00:00<00:05, 86.37it/s, loss=1.083, v_num=7359009]
Epoch 0:  12%|█▏        | 67/578 [00:00<00:05, 86.42it/s, loss=1.082, v_num=7359009]
Epoch 0:  12%|█▏        | 68/578 [00:00<00:05, 86.49it/s, loss=1.082, v_num=7359009]
Epoch 0:  12%|█▏        | 68/578 [00:00<00:05, 86.46it/s, loss=1.082, v_num=7359009]
Epoch 0:  12%|█▏        | 69/578 [00:00<00:05, 86.52it/s, loss=1.081, v_num=7359009]
Epoch 0:  12%|█▏        | 70/578 [00:00<00:05, 86.58it/s, loss=1.081, v_num=7359009]
Epoch 0:  12%|█▏        | 71/578 [00:00<00:05, 86.63it/s, loss=1.081, v_num=7359009]
Epoch 0:  12%|█▏        | 72/578 [00:00<00:05, 86.69it/s, loss=1.081, v_num=7359009]
Epoch 0:  13%|█▎        | 73/578 [00:00<00:05, 86.73it/s, loss=1.080, v_num=7359009]
Epoch 0:  13%|█▎        | 74/578 [00:00<00:05, 86.78it/s, loss=1.079, v_num=7359009]
Epoch 0:  13%|█▎        | 75/578 [00:00<00:05, 86.83it/s, loss=1.079, v_num=7359009]
Epoch 0:  13%|█▎        | 76/578 [00:00<00:05, 86.88it/s, loss=1.079, v_num=7359009]
Epoch 0:  13%|█▎        | 77/578 [00:00<00:05, 86.93it/s, loss=1.079, v_num=7359009]
Epoch 0:  13%|█▎        | 78/578 [00:00<00:05, 86.98it/s, loss=1.079, v_num=7359009]
Epoch 0:  13%|█▎        | 78/578 [00:00<00:05, 86.95it/s, loss=1.078, v_num=7359009]
Epoch 0:  14%|█▎        | 79/578 [00:00<00:05, 87.00it/s, loss=1.076, v_num=7359009]
Epoch 0:  14%|█▍        | 80/578 [00:00<00:05, 87.04it/s, loss=1.075, v_num=7359009]
Epoch 0:  14%|█▍        | 81/578 [00:00<00:05, 87.08it/s, loss=1.075, v_num=7359009]
Epoch 0:  14%|█▍        | 82/578 [00:00<00:05, 87.13it/s, loss=1.075, v_num=7359009]
Epoch 0:  14%|█▍        | 83/578 [00:00<00:05, 87.17it/s, loss=1.075, v_num=7359009]
Epoch 0:  15%|█▍        | 84/578 [00:00<00:05, 87.20it/s, loss=1.074, v_num=7359009]
Epoch 0:  15%|█▍        | 85/578 [00:00<00:05, 87.24it/s, loss=1.075, v_num=7359009]
Epoch 0:  15%|█▍        | 86/578 [00:00<00:05, 87.28it/s, loss=1.074, v_num=7359009]
Epoch 0:  15%|█▌        | 87/578 [00:00<00:05, 87.32it/s, loss=1.074, v_num=7359009]
Epoch 0:  15%|█▌        | 88/578 [00:01<00:05, 87.37it/s, loss=1.074, v_num=7359009]
Epoch 0:  15%|█▌        | 88/578 [00:01<00:05, 87.34it/s, loss=1.073, v_num=7359009]
Epoch 0:  15%|█▌        | 89/578 [00:01<00:05, 87.38it/s, loss=1.072, v_num=7359009]
